text1,text2,aspect1,aspect2,sentiment1,sentiment2,joins
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Sometimes, the take-out and seating lines can be long, but the staff help move things along.",staff,staff,positive,positive,True
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.",staff,place,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.,staff,ambience,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.,staff,miscellaneous,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"A+  was planning a party for my staff, and was treated rudely by another restaurant when trying to add more people to reservation (a simple no would have worked).",staff,staff,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The Food Regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter.",staff,food,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere.",staff,service,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)",staff,food,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)",staff,staff,positive,positive,True
Hostess was extremely accommodating when we arrived an hour early for our reservation.,Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.,staff,staff,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Smiling servers quiz diners with movie trivia, but forget to fill their water glasses.",staff,staff,positive,positive,True
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering).",staff,staff,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",staff,service,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",staff,ambience,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",staff,food,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,Chef Anthony is warm and is always fixing up something unique and tasty in the kitchen to send to your table.,staff,staff,positive,positive,True
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",staff,food,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning.",staff,place,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,The food was served promptly and was really hot.,staff,food,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.",staff,place,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.",staff,staff,positive,positive,True
Hostess was extremely accommodating when we arrived an hour early for our reservation.,I had been to Blue Fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).,staff,ambience,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The bar downstairs is a lot of fun, so if you get stuck waiting, just have drink.",staff,service,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.",staff,ambience,positive,positive,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.",staff,place,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.,staff,service,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.",staff,staff,positive,positive,True
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.",staff,food,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,Their desserts were limited - I mean REALLY limited to 2 items (nothing like the online menu).,staff,food,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,"My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service.",staff,service,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,Bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).,staff,staff,positive,negative,False
Hostess was extremely accommodating when we arrived an hour early for our reservation.,Perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.,staff,service,positive,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.,staff,staff,negative,negative,True
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table.",staff,staff,negative,negative,True
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",the tables are in the back and the ambience was less to be desired.,staff,ambience,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","While service is still ok, the food has been not up to par on my last few visits.",staff,service,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","While service is still ok, the food has been not up to par on my last few visits.",staff,food,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","After the wine experience, I actually expected worse than what was served.",staff,service,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",I dined in the Main Dining Room which is surrounded by authentic Spanish decorations.,staff,ambience,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right.",staff,staff,negative,negative,True
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough.",staff,miscellaneous,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The food at Cafe Asean is to die for, and the prices are unmatchable.",staff,food,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The food at Cafe Asean is to die for, and the prices are unmatchable.",staff,price,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.",staff,miscellaneous,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.",staff,place,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",It also has great ice cream and spumoni ices.,staff,food,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",staff,food,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",staff,miscellaneous,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",staff,service,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",The ONLY negative was when we asked the waiter to secretly bring birthday cake and some other desserts for the table.,staff,staff,negative,negative,True
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Sometimes, the take-out and seating lines can be long, but the staff help move things along.",staff,staff,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.",staff,place,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.,staff,ambience,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.,staff,miscellaneous,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","A+  was planning a party for my staff, and was treated rudely by another restaurant when trying to add more people to reservation (a simple no would have worked).",staff,staff,negative,negative,True
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The Food Regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter.",staff,food,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere.",staff,service,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)",staff,food,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)",staff,staff,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.,staff,staff,negative,negative,True
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Smiling servers quiz diners with movie trivia, but forget to fill their water glasses.",staff,staff,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering).",staff,staff,negative,negative,True
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",staff,service,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",staff,ambience,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",staff,food,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",Chef Anthony is warm and is always fixing up something unique and tasty in the kitchen to send to your table.,staff,staff,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",staff,food,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning.",staff,place,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",The food was served promptly and was really hot.,staff,food,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.",staff,place,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.",staff,staff,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",I had been to Blue Fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).,staff,ambience,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The bar downstairs is a lot of fun, so if you get stuck waiting, just have drink.",staff,service,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.",staff,ambience,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.",staff,place,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.",We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.,staff,service,negative,negative,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.",staff,staff,negative,positive,False
"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.",staff,food,negative,negative,False
